CCODE,ISO -3 ,Countries\Indicators,Status,EVI,a,Exposure index,b,Population,,c,Remoteness,,,d,Share of population in low elevated coastal zones ,,e,Economic structure index,f,Export concentration,,g,"Shares of agriculture, forestry and fisheries",,h,Shock index,i,Natural Shock index,j,Victims of natural disasters (%),,k,Agricultural instability,,l,Export instability,,m,HAI,n,Health index,o,Prevalence of undernourishment  in total population (%),,p,Under 5 mortality (per 1000),,q,"Maternal mortality (per 100,000 live birth)",,r,Education index,s,Literacy rate,,t,Gross secondary enrolment ratio,,u,GNI per capita ($),v
426,LSO,Lesotho,LDC,42.0,,43.0,,"2,203,821",58.7,,8330.26,88.993,98.7,,0.00,0.0,,14.4,,0.28,21.0,,5.7,7.9,,41.1,,60.2,,6.526,94.4,,6.33,26.1,,11.58,21.9,,61.6,,64.4,,14.5,84.2,,93.5,49.4,,487,59.7,,58.7,,76.6,68.8,t23,53.8,48.6,,"1,296",
430,LBR,Liberia,LDC,53.2,,46.2,,"4,613,823",47.3,,5338.59,50.918,51.1,,6.38,18.2,,68.1,,0.41,36.2,,71.5,100.0,,60.2,,33.1,,0.077,35.9,,7.11,30.3,,31.20,87.3,,37.2,,47.3,,42.8,37.0,,67.4,65.2,,725,39.8,,27.1,,42.9,23.9,"t27, t23",37.3,30.3,,431,
434,LBY,Libya,,37.6,,23.4,,"6,293,253",42.5,,2504.33,11.662,2.1,,6.17,17.6,,31.2,,0.63,62.4,,0.9,0.0,,51.8,,3.7,,0.002,0.0,,2.85,7.3,,42.82,100.0,,96.8,,99.3,,5.0,100.0,"p3, p7",12.9,98.2,,9,99.6,,94.3,,91.4,88.5,t6,104.5,100.0,u6,"6,047",
450,MDG,Madagascar,LDC,37.8,,34.6,,"24,894,551",21.4,,7532.46,68.772,73.5,,1.66,4.8,,38.8,,0.29,22.1,,33.8,55.6,,41.1,,44.3,,2.188,80.0,,3.10,8.7,,16.35,37.8,,54.5,,62.2,,42.3,37.8,,46.4,77.9,,353,70.9,,46.8,,71.6,62.1,,38.4,31.6,,486,
454,MWI,Malawi,LDC,47.1,,39.1,,"18,091,575",26.3,,6987.03,79.873,87.3,,0.00,0.0,,42.7,,0.46,42.5,,26.4,43.0,,55.2,,72.9,,6.783,94.9,,10.91,50.9,,16.23,37.4,,52.5,,61.7,,25.9,65.2,,55.1,72.7,,634,47.4,,43.3,,62.1,49.5,t23,43.4,37.1,,331,
458,MYS,Malaysia,,21.4,,23.6,,"31,187,265",17.9,,5325.40,50.790,51.0,,5.10,14.6,,11.0,,0.17,8.7,,8.8,13.3,,19.3,,35.4,,0.515,61.0,,3.30,9.7,,5.95,3.2,,91.0,,99.0,,2.5,100.0,p1,8.3,100.0,,40,97.1,,83.0,,93.1,90.8,t24,77.6,75.1,,"10,432",
462,MDV,Maldives,,50.9,,70.4,,"427,756",83.9,,5567.25,53.093,53.9,,100.00,100.0,e2,44.0,,0.77,78.8,,6.4,9.2,,31.3,,49.7,,0.465,59.6,,8.87,39.8,,8.86,12.9,,91.4,,96.3,,8.5,94.2,,8.5,100.0,,68,94.8,,86.6,,98.6,98.1,,77.5,75.0,u8,"9,200",
466,MLI,Mali,LDC,36.8,,39.7,,"17,994,837",26.4,,4695.18,59.258,61.6,,0.00,0.0,,71.0,,0.75,76.5,,39.7,65.6,,33.8,,50.0,,1.819,77.6,,5.66,22.5,,10.30,17.7,,43.1,,63.4,,4.0,100.0,,110.6,39.0,,587,51.3,,22.8,,33.1,10.8,,41.3,34.8,,801,
584,MHL,Marshall Islands,,66.1,,82.2,,"53,066",100.0,,8338.02,74.041,80.1,,98.10,100.0,e3,48.8,,0.72,72.6,,15.8,25.0,,50.0,,91.3,,2.675,82.7,,48.02,100.0,,7.61,8.7,,88.2,,90.5,,9.0,93.3,p8,35.4,84.6,,81,93.7,r1,85.8,,98.3,97.7,t1,76.6,74.0,,"4,661",
478,MRT,Mauritania,LDC,39.9,,45.0,,"4,301,018",48.4,,4473.37,41.748,39.7,,19.12,54.6,,37.1,,0.39,33.9,,24.8,40.3,,34.9,,46.9,,4.247,88.7,,2.42,5.0,,11.86,22.9,,46.9,,68.8,,5.3,99.5,,81.4,56.7,,602,50.1,,25.1,,45.5,27.3,"t27, t23",30.6,22.9,,"1,230",
480,MUS,Mauritius,,24.2,,38.7,,"1,262,132",67.2,,7670.69,69.715,74.6,,1.41,4.0,,8.7,,0.21,13.0,,3.6,4.4,,9.7,,17.7,,0.009,7.8,,6.62,27.7,,5.50,1.7,,95.3,,97.8,,5.2,99.7,,13.7,97.8,,53,96.0,,92.7,,92.7,90.3,,95.7,95.2,,"9,808",
484,MEX,Mexico,,17.6,,18.8,,"127,540,423",0.0,,6848.65,63.836,67.3,,1.58,4.5,,3.6,,0.13,3.0,,3.4,4.1,,16.3,,32.6,,0.637,63.8,,1.75,1.4,,4.99,0.0,,94.6,,98.2,,4.2,100.0,,14.6,97.2,,38,97.3,,91.1,,94.5,92.6,,90.5,89.5,,"9,882",
583,FSM,Micronesia (Federated States of),,58.6,,78.8,,"104,937",100.0,,7830.68,70.785,76.0,,27.29,78.0,e3,61.1,,0.76,78.1,,27.0,44.1,,38.4,,63.5,,8.178,97.4,,6.99,29.7,l1,9.00,13.3,,87.5,,89.3,,11.0,90.0,p9,33.3,85.9,,100,92.1,,85.6,,92.4,89.9,t13,83.2,81.4,u2,"3,508",
496,MNG,Mongolia,,39.0,,33.9,,"3,027,398",53.8,,3921.27,49.916,49.9,,0.00,0.0,,32.1,,0.46,41.8,,14.2,22.4,,44.1,,74.4,,8.247,97.5,,10.99,51.3,,9.17,13.9,,91.7,,89.2,,19.6,75.7,,17.9,95.2,,44,96.7,,94.1,,98.3,97.7,t24,91.5,90.5,,"3,892",
504,MAR,Morocco,,16.3,,11.3,,"35,276,786",16.0,,2851.12,18.388,10.5,,1.38,3.9,,14.6,,0.17,7.9,,13.6,21.4,,21.3,,42.7,,0.196,48.3,,8.36,37.1,,3.32,0.0,,77.9,,93.3,,3.5,100.0,,27.1,89.6,,121,90.3,,62.4,,69.4,59.2,t23,69.1,65.6,,"3,058",
508,MOZ,Mozambique,LDC,36.7,,35.6,,"28,829,476",19.1,,8047.13,72.199,77.7,,5.25,15.0,,30.7,,0.29,21.8,,24.4,39.6,,37.8,,58.5,,3.346,85.6,,7.31,31.4,,10.13,17.1,,45.8,,62.1,,26.6,64.0,,71.3,62.8,,489,59.5,,29.5,,50.6,34.1,t25,32.4,24.9,u14,564,
104,MMR,Myanmar,LDC,31.7,,29.5,,"52,885,223",9.8,,4502.68,42.086,40.1,,10.97,31.4,,36.6,,0.35,29.8,,26.6,43.4,,34.0,,39.1,,0.626,63.5,,4.21,14.6,,13.69,29.0,,68.5,,80.3,,16.9,80.2,,50.8,75.3,,178,85.5,,56.6,,75.6,67.4,t23,51.3,45.9,,"1,255",
516,NAM,Namibia,,36.3,,37.4,,"2,479,713",56.9,,7673.00,69.730,74.7,,1.09,3.1,,15.1,,0.27,20.5,,6.8,9.8,,35.2,,70.1,,6.363,94.1,,10.05,46.2,,5.10,0.3,,72.5,,72.4,,28.8,60.3,,45.2,78.7,,265,78.3,,72.7,,88.3,84.4,t27,64.8,60.9,u18,"5,225",
520,NRU,Nauru,,58.3,,78.9,,"11,347",100.0,,8670.22,76.067,82.6,,41.98,100.0,e3,32.9,,0.63,62.1,,3.2,3.7,,37.7,,0.0,,0.000,0.0,,0.98,0.0,,27.62,75.4,,88.3,,88.6,,16.0,81.7,p10,34.6,85.1,,17,99.0,r1,88.0,,96.5,95.3,t14,82.6,80.7,,"11,169",
524,NPL,Nepal,LDC,28.4,,25.1,,"28,982,771",19.0,,4096.93,52.189,52.7,,0.00,0.0,,28.6,,0.14,4.6,,32.0,52.6,,31.8,,43.1,,1.657,76.4,,3.31,9.8,,11.13,20.4,,71.2,,86.3,,8.1,94.8,,34.5,85.2,,258,78.8,,56.2,,59.6,46.2,t1,69.6,66.2,u14,745,
558,NIC,Nicaragua,,28.9,,33.1,,"6,149,928",42.9,,6668.95,62.457,65.6,,0.85,2.4,,21.5,,0.22,14.3,,18.0,28.8,,24.8,,49.5,,2.516,81.8,,4.69,17.2,,4.56,0.0,,80.7,,87.3,,17.0,80.0,,19.7,94.1,,150,87.9,,74.0,,82.5,76.6,t6,74.2,71.3,u15,"1,967",
562,NER,Niger,LDC,35.3,,32.3,,"20,672,987",24.2,,4349.74,55.294,56.6,,0.00,0.0,,48.5,,0.37,31.2,,39.8,65.8,,38.2,,65.5,,7.148,95.6,,8.05,35.4,,8.25,10.8,,35.4,,64.8,,11.3,89.5,,91.3,50.7,,553,54.1,,6.0,,15.5,0.0,t23,20.7,11.9,,393,
566,NGA,Nigeria,,34.2,,27.2,,"185,989,640",0.0,,4964.52,47.150,46.4,,2.67,7.6,,54.9,,0.75,76.3,,20.8,33.5,,41.1,,35.7,,0.294,53.6,,4.78,17.7,,18.99,46.6,,49.8,,56.8,,7.9,95.2,,104.3,42.8,,814,32.3,,42.8,,51.1,34.8,"t26, t23",55.7,50.8,,"2,770",
512,OMN,Oman,,27.1,,32.6,,"4,424,762",48.0,,4456.37,41.550,39.4,,5.65,16.1,,26.9,,0.55,53.1,,1.4,0.6,,21.5,,31.6,,0.045,29.0,,7.83,34.2,,8.42,11.4,,97.1,,98.9,,6.2,98.0,,10.7,99.6,,17,99.0,,95.4,,93.0,90.7,,104.2,100.0,,"17,133",
586,PAK,Pakistan,,21.9,,15.7,,"193,203,476",0.0,,4064.31,36.774,33.5,,1.06,3.0,,26.5,,0.20,12.1,,25.1,40.8,,28.0,,40.5,,1.784,77.3,,2.17,3.6,,9.65,15.5,,56.7,,73.0,,19.9,75.2,,78.8,58.3,,178,85.5,,40.5,,57.0,42.6,,44.5,38.4,,"1,502",
585,PLW,Palau,,76.0,,75.2,,"21,503",100.0,,6308.38,59.574,62.0,,38.21,100.0,e3,38.7,,0.72,73.0,,3.6,4.3,,76.8,,53.6,,0.301,53.9,,11.38,53.4,l2,36.31,100.0,,96.6,,97.8,,0.0,100.0,p10,15.9,96.4,,42,96.9,r1,95.4,,96.6,95.5,,95.7,95.3,u13,"11,752",
591,PAN,Panama,,25.5,,31.7,,"4,034,119",49.4,,6577.96,61.744,64.7,,3.01,8.6,,4.1,,0.14,5.1,,2.8,3.1,,19.3,,27.6,,0.243,51.1,,2.27,4.1,,8.32,11.1,,88.2,,93.8,,9.3,92.8,,16.4,96.1,,94,92.5,,82.5,,94.1,92.1,t24,75.6,72.8,,"11,804",
598,PNG,Papua New Guinea,,36.4,,36.7,,"8,084,991",38.7,,8252.17,73.504,79.4,,0.49,1.4,,27.3,,0.29,22.3,,20.0,32.3,,36.1,,57.0,,2.589,82.2,,7.40,31.9,,9.53,15.1,,61.6,,80.8,,13.0,86.7,p11,54.3,73.2,,215,82.4,,42.5,,63.4,51.2,t6,40.3,33.7,,"2,733",
600,PRY,Paraguay,,42.5,,42.7,,"6,725,308",41.5,,8639.36,90.882,100.0,,0.00,0.0,,29.4,,0.33,27.2,,19.6,31.5,,42.3,,58.4,,2.116,79.6,,8.39,37.2,,12.86,26.2,,87.1,,90.6,,12.0,88.3,,19.9,94.0,,132,89.4,,83.7,,95.1,93.4,,76.6,74.0,,"4,260",
604,PER,Peru,,24.7,,28.4,,"31,773,839",17.6,,8197.13,73.157,78.9,,0.92,2.6,,14.5,,0.25,17.9,,7.6,11.2,,21.0,,42.0,,1.797,77.4,,2.72,6.6,,4.28,0.0,,94.7,,95.6,,7.9,95.2,,15.3,96.8,,68,94.7,,93.8,,94.2,92.2,,95.7,95.3,,"6,152",
608,PHL,Philippines,,25.1,,20.5,,"103,320,222",0.0,,5097.16,48.518,48.1,,5.65,16.1,,17.7,,0.27,19.5,,10.4,16.0,,29.7,,51.5,,7.665,96.5,,2.71,6.5,,7.36,7.9,,89.9,,88.6,,13.8,85.3,,27.1,89.6,,114,90.9,,91.1,,96.4,95.2,,88.4,87.1,,"3,525",
634,QAT,Qatar,,28.5,,37.2,,"2,569,804",56.3,,4050.93,36.603,33.3,,12.83,36.7,,22.5,,0.48,45.0,,0.1,0.0,,19.8,,22.8,,0.000,0.0,,9.93,45.5,,10.02,16.7,,96.7,,99.8,,5.0,100.0,"p3, p5",8.5,100.0,,13,99.4,,93.6,,97.7,97.0,,91.2,90.2,,"75,074",
410,KOR,Republic of Korea,,12.7,,15.2,,"50,791,919",10.4,,4343.81,40.224,37.8,,3.04,8.7,,3.8,,0.15,5.5,,2.3,2.2,,10.3,,20.3,,0.082,36.8,,2.22,3.9,,5.07,0.2,,98.9,,99.8,,2.5,100.0,,3.4,100.0,,11,99.5,,98.0,,98.0,97.3,t15,98.9,98.8,,"27,456",
646,RWA,Rwanda,LDC,36.4,,36.6,,"11,917,508",32.7,,5764.44,69.898,74.9,,0.00,0.0,,38.8,,0.33,27.0,,30.9,50.6,,36.2,,50.6,,1.206,72.2,,6.88,29.1,,11.50,21.7,,55.0,,66.2,,41.1,39.8,,38.5,82.7,,290,76.1,,43.7,,68.3,57.8,,36.7,29.7,,707,
659,KNA,Saint Kitts and Nevis,,51.9,,51.8,,"54,821",100.0,,5332.03,50.854,51.1,,15.18,43.4,e1,12.6,,0.31,24.9,,1.2,0.4,,52.1,,86.4,,1.260,72.8,,27.31,100.0,,10.36,17.9,,93.8,,94.4,,14.0,85.0,p4,9.3,100.0,,28,98.1,r1,93.2,,97.8,97.1,t16,90.4,89.3,,"15,373",
662,LCA,Saint Lucia,,41.7,,45.1,,"178,015",97.4,,5525.79,52.705,53.4,,1.61,4.6,,25.2,,0.50,47.4,,2.8,3.0,,38.2,,76.5,,6.580,94.5,,12.32,58.5,,4.55,0.0,,89.9,,91.5,,17.0,80.0,,13.3,98.0,,48,96.4,,88.3,,94.8,93.1,t17,85.1,83.5,,"7,033",
670,VCT,Saint Vincent and the Grenadines,,40.5,,50.3,,"109,643",100.0,,5592.21,53.325,54.2,,8.87,25.3,e1,21.8,,0.37,32.2,,7.7,11.4,,30.6,,53.8,,2.304,80.7,,6.48,26.9,,7.23,7.4,,94.8,,97.0,,6,98.3,,16.6,96.0,,45,96.7,,92.7,,89.0,85.3,t18,106.4,100.0,,"6,623",
882,WSM,Samoa,,39.7,,64.1,,"195,125",96.0,,9567.26,81.173,89.0,,17.78,50.8,e1,20.9,,0.33,27.1,,9.6,14.6,,15.2,,30.4,,0.491,60.4,,1.58,0.4,,4.06,0.0,,94.1,,97.2,,3.2,100.0,,17.3,95.6,,51,96.1,,91.0,,99.0,98.6,t1,85.0,83.3,,"4,124",
678,STP,Sao Tome and Principe,LDC,41.2,,62.3,,"199,910",95.6,,5506.97,52.528,53.2,,21.83,62.4,e1,38.1,,0.59,58.0,,11.8,18.3,,20.2,,9.9,,0.000,0.0,,5.17,19.8,,14.12,30.4,,86.0,,86.3,,13.5,85.8,,33.8,85.6,,156,87.4,,85.8,,90.1,86.9,,86.2,84.7,,"1,684",
682,SAU,Saudi Arabia,,14.4,,23.6,,"32,275,687",17.4,,3883.01,34.408,30.5,,5.20,14.9,,31.7,,0.62,60.9,,2.5,2.6,,5.3,,7.4,,0.005,0.8,,4.10,14.1,,5.93,3.1,,97.8,,99.2,,4.4,100.0,,12.9,98.2,,12,99.4,,96.3,,94.4,92.6,,108.3,100.0,,"23,674",
686,SEN,Senegal,LDC,33.4,,30.6,,"15,411,614",28.8,,4805.34,45.460,44.3,,10.06,28.7,,20.6,,0.23,15.0,,16.5,26.2,,36.3,,72.5,,1.238,72.5,,14.93,72.6,,4.14,0.0,,57.1,,80.4,,11.3,89.5,,47.1,77.5,,315,74.0,,33.9,,42.8,23.8,,49.6,44.1,,"1,004",
690,SYC,Seychelles,,45.2,,57.4,,"94,228",100.0,,6428.58,60.553,63.2,,13.92,39.8,e3,26.5,,0.53,50.7,,2.4,2.4,,32.9,,51.1,,1.159,71.6,,7.16,30.6,,9.43,14.8,,90.6,,95.4,,8.6,94.0,p4,14.3,97.4,,65,95.0,r1,85.7,,94.0,91.9,t24,81.6,79.6,,"13,632",
694,SLE,Sierra Leone,LDC,51.6,,45.0,,"7,396,190",40.1,,5227.85,49.831,49.8,,3.79,10.8,,79.5,,0.63,62.6,,57.9,96.4,,58.1,,37.7,,0.037,26.3,,10.58,49.1,,28.55,78.5,,27.4,,31.4,,30.9,56.8,,113.5,37.3,,1360,0.0,,23.4,,32.4,9.9,t23,43.3,36.9,,582,
702,SGP,Singapore,,30.5,,33.8,,"5,622,455",44.3,,5473.64,52.213,52.8,,10.33,29.5,,8.5,,0.24,17.0,,0.0,0.0,,27.3,,50.0,,0.000,0.0,,21.19,100.0,,6.38,4.6,,98.9,,99.9,,5.0,100.0,"p2, p3",2.8,100.0,,10,99.6,,98.0,,97.0,96.1,,108.1,100.0,u9,"53,504",
90,SLB,Solomon Islands,LDC,51.9,,63.0,,"599,419",78.7,,8945.31,77.687,84.6,,12.88,36.8,e1,52.0,,0.61,60.0,,26.9,43.9,,40.8,,45.1,,1.360,73.7,,4.55,16.5,,15.95,36.5,,74.8,,88.8,,13.9,85.2,,25.8,90.4,,114,90.9,,60.8,,84.1,78.8,t19,48.4,42.7,,"1,763",
706,SOM,Somalia,LDC,34.7,,43.8,,"14,317,996",29.9,,5722.45,54.519,55.6,,2.50,7.1,,82.5,,0.65,65.0,,60.2,100.0,,25.7,,51.3,,8.706,98.2,,2.33,4.5,,1.83,0.0,,16.7,,23.3,,62.0,5.0,,132.5,25.8,,732,39.2,,10.0,,40.0,20.0,t20,7.4,0.0,u18,95,
710,ZAF,South Africa,,23.4,,23.7,,"56,015,473",8.9,,8751.29,76.550,83.2,,0.16,0.5,,2.4,,0.12,2.4,,2.4,2.4,,23.1,,46.2,,1.861,77.9,,4.17,14.4,,4.85,0.0,,92.6,,89.6,,4.6,100.0,,43.3,79.8,,138,88.9,,95.6,,94.4,92.5,,98.8,98.7,,"6,099",
728,SSD,South ‎Sudan,LDC,55.6,,36.0,,"12,230,730",32.3,,5137.86,63.930,67.4,,0.00,0.0,,44.4,,0.81,83.1,g1,4.3,5.6,,75.2,,50.5,,4.289,88.9,,3.73,12.1,l3,59.68,100.0,m1,25.8,,50.4,,25.6,65.7,p12,90.7,51.1,,789,34.4,,1.2,,26.8,2.4,t26,9.5,0.0,,"1,303",
144,LKA,Sri Lanka,,25.0,,23.8,,"20,798,492",24.1,,5264.44,50.192,50.2,,2.98,8.5,,12.4,,0.20,12.1,,8.5,12.8,,26.1,,52.2,,3.962,87.8,,4.56,16.5,,4.84,0.0,,91.9,,89.8,,22.1,71.5,,9.4,100.0,,30,97.9,,94.0,,91.2,88.2,t24,99.7,99.7,,"3,773",
729,SDN,Sudan,LDC,49.2,,27.3,,"39,578,828",14.3,,4179.80,38.228,35.3,,0.30,0.9,,58.6,,0.65,64.7,,32.0,52.6,,71.2,,43.8,,1.554,75.5,,3.73,12.1,l3,34.57,98.6,m1,53.0,,68.9,,25.6,65.7,,65.1,66.6,,311,74.4,,37.2,,53.5,38.0,t26,42.7,36.3,,"1,452",
740,SUR,Suriname,,51.1,,67.6,,"558,368",79.8,,6014.42,57.100,58.9,,56.19,100.0,,31.6,,0.51,48.1,,9.9,15.1,,34.5,,44.9,,0.311,54.4,,8.04,35.4,,12.27,24.2,,88.5,,92.2,,7.9,95.2,,20.0,93.9,,155,87.4,,84.8,,92.9,90.5,,81.1,79.0,,"8,394",
748,SWZ,Swaziland,,36.2,,44.6,,"1,343,098",66.3,,8075.17,87.380,96.7,,0.00,0.0,,15.2,,0.23,15.2,,10.0,15.2,,27.8,,53.6,,9.487,99.3,,2.95,7.8,,5.60,2.0,,69.4,,69.0,,19.6,75.7,,70.4,63.4,,389,67.9,,69.9,,83.1,77.5,"t24, t23",66.0,62.3,,"2,764",
760,SYR,Syrian Arab Republic,,33.6,,14.6,,"18,430,453",26.0,,2890.35,19.097,11.4,,0.13,0.4,,20.7,,0.17,8.1,,20.6,33.2,,52.5,,54.1,,0.424,58.4,,10.70,49.7,,20.28,50.9,,79.8,,96.2,,6.0,98.3,p4,17.5,95.5,,68,94.8,,63.4,,86.3,81.7,t6,50.5,45.0,,"1,523",
762,TJK,Tajikistan,,35.9,,30.7,,"8,734,951",37.5,,3943.36,50.208,50.3,,0.00,0.0,,35.2,,0.35,29.8,,24.9,40.6,,41.0,,55.8,,4.786,90.3,,5.44,21.3,,12.84,26.1,,85.9,,78.6,,30.1,58.2,,43.1,79.9,,32,97.7,,93.1,,99.8,99.7,t6,87.9,86.5,,"1,309",
764,THA,Thailand,,23.7,,21.1,,"68,863,514",5.7,,4650.03,43.756,42.2,,10.34,29.5,,6.8,,0.08,0.0,,9.0,13.6,,26.3,,51.0,,5.957,93.2,,3.12,8.8,,5.49,1.6,,95.9,,96.6,,9.5,92.5,,12.2,98.7,,20,98.7,,95.2,,92.9,90.5,,129.0,100.0,,"5,706",
626,TLS,Timor-Leste,LDC,56.8,,43.2,,"1,268,671",67.2,,6998.23,64.956,68.7,,0.94,2.7,,34.3,,0.59,57.3,,7.7,11.4,,70.4,,40.8,,0.547,61.8,,5.15,19.7,,45.97,100.0,,66.6,,74.0,,26.9,63.5,,49.7,75.9,,215,82.5,,59.3,,58.3,44.4,t24,76.8,74.2,,"2,656",
768,TGO,Togo,LDC,28.3,,31.9,,"7,606,374",39.6,,5027.24,47.801,47.3,,3.61,10.3,,30.5,,0.22,14.1,,28.7,46.9,,24.8,,38.9,,0.342,55.6,,5.60,22.2,,8.20,10.7,,61.8,,73.0,,11.5,89.2,,75.7,60.2,,368,69.6,,50.7,,63.7,51.7,,54.7,49.7,u18,555,
776,TON,Tonga,,56.0,,75.0,,"107,122",100.0,,10218.19,84.586,93.2,,27.33,78.1,e1,28.6,,0.32,25.8,,19.5,31.4,,37.0,,50.0,,1.408,74.2,,6.27,25.8,,12.19,24.0,,94.7,,95.4,,5.0,100.0,"p2, p3",16.4,96.1,,124,90.0,,94.1,,99.4,99.2,t1,90.1,89.0,,"4,246",
780,TTO,Trinidad and Tobago,,31.0,,36.2,,"1,364,962",66.0,,5791.86,55.144,56.4,,2.91,8.3,,14.2,,0.34,28.4,,0.4,0.0,,25.7,,19.0,,0.008,5.7,,7.47,32.3,,14.74,32.5,,94.0,,96.7,,4.8,100.0,,18.5,94.8,,63,95.2,,91.3,,99.0,98.6,t6,85.5,83.9,u3,"17,975",
788,TUN,Tunisia,,18.0,,16.9,,"11,403,248",33.4,,2201.24,4.972,0.0,,8.52,24.3,,9.9,,0.14,4.8,,9.9,15.0,,19.2,,38.4,,0.017,15.9,,12.76,60.9,,4.55,0.0,,88.6,,97.7,,5.0,100.0,,13.6,97.8,,62,95.2,,79.5,,79.0,72.0,,88.2,86.9,,"3,882",
792,TUR,Turkey,,10.8,,3.5,,"79,512,426",3.5,,2227.39,5.585,0.0,,1.76,5.0,,5.5,,0.07,0.0,,7.4,10.9,,18.1,,35.3,,0.422,58.3,,3.77,12.3,,5.27,0.9,,98.1,,99.1,,2.5,100.0,p1,12.7,98.4,,16,99.1,,97.1,,95.6,94.1,,102.5,100.0,,"11,946",
795,TKM,Turkmenistan,,36.1,,34.8,,"5,662,544",44.2,,3714.76,47.111,46.4,,0.00,0.0,,48.8,,0.75,76.7,,13.4,21.0,,37.3,,24.3,,0.000,0.0,,10.49,48.6,,20.09,50.3,,91.0,,90.4,,5.5,99.2,,51.0,75.2,,42,96.9,,91.7,,99.7,99.6,t6,85.3,83.7,,"7,047",
798,TUV,Tuvalu,LDC,56.0,,83.0,,"11,097",100.0,,9420.97,80.374,88.0,,94.73,100.0,e3,44.1,,0.54,51.2,,22.8,36.9,,29.0,,40.2,,2.097,79.4,,1.67,0.9,,10.36,17.9,,90.1,,91.4,,10.0,91.7,p2,25.3,90.7,,104,91.7,r1,88.9,,94.9,93.2,t21,86.2,84.6,u13,"5,388",
800,UGA,Uganda,LDC,31.7,,28.1,,"41,487,965",13.5,,5589.38,68.299,72.9,,0.00,0.0,,25.8,,0.18,9.1,,26.1,42.5,,35.4,,39.8,,0.869,67.9,,3.66,11.7,,14.30,31.0,,50.2,,63.0,,39.0,43.3,,53.0,73.9,,343,71.7,,37.5,,70.2,60.3,,23.2,14.7,,661,
784,ARE,United Arab Emirates,,28.4,,31.2,,"9,269,612",36.6,,4229.30,38.838,36.0,,14.78,42.2,,9.9,,0.27,19.8,,0.7,0.0,,25.7,,44.3,,0.000,0.0,,17.89,88.6,,7.13,7.1,,88.0,,100.0,,3.8,100.0,,7.7,100.0,,6,99.9,,76.0,,94.0,92.0,t6,64.0,60.0,u10,"42,772",
834,TZA,United Republic of Tanzania,LDC,27.9,,27.5,,"55,572,201",9.0,,6392.88,60.264,62.8,,0.71,2.0,,36.1,,0.28,21.3,,31.0,50.9,,28.3,,47.0,,0.901,68.3,,6.24,25.6,,7.89,9.6,,56.0,,64.4,,32.3,54.5,,56.7,71.7,,398,67.1,,47.6,,77.9,70.5,,32.3,24.7,,902,
858,URY,Uruguay,,31.7,,41.0,,"3,444,006",51.8,,9454.94,80.560,88.2,,4.11,11.8,,12.1,,0.22,14.2,,6.9,10.1,,22.4,,39.1,,0.284,53.1,,6.12,25.0,,6.71,5.7,,98.0,,99.7,,2.5,100.0,p1,9.2,100.0,,15,99.2,,96.3,,98.5,98.0,,95.1,94.5,,"15,772",
860,UZB,Uzbekistan,,23.0,,23.7,,"31,446,795",17.8,,3885.64,49.443,49.3,,0.00,0.0,,27.8,,0.32,26.3,,18.3,29.3,,22.3,,24.2,,0.121,41.9,,2.71,6.5,,11.08,20.3,,96.6,,95.6,,6.3,97.8,,24.1,91.5,,36,97.4,,97.7,,100.0,100.0,,95.9,95.5,,"2,247",
548,VUT,Vanuatu,LDC,47.0,,57.9,,"270,402",90.9,,9717.98,81.983,90.0,,1.18,3.4,,47.2,,0.53,50.3,,27.0,44.1,,36.1,,63.6,,6.976,95.3,,7.40,31.9,,7.59,8.6,,78.5,,93.3,,6.9,96.8,,27.6,89.3,,78,93.9,,63.7,,83.2,77.6,t22,54.8,49.8,,"3,014",
862,VEN,Venezuela (Bolivarian Republic of),,23.5,,29.5,,"31,568,179",17.7,,5949.70,56.539,58.2,,2.50,7.1,,35.1,,0.63,62.1,,5.7,8.0,,17.5,,31.0,,0.177,46.9,,4.31,15.2,,6.18,3.9,,92.1,,91.8,,13.0,86.7,,16.3,96.2,,95,92.4,,92.3,,97.1,96.2,,89.7,88.5,,"10,278",
704,VNM,Viet Nam,,30.1,,39.5,,"94,569,072",0.9,,4317.26,39.906,37.4,,36.97,100.0,,19.7,,0.18,9.0,,18.9,30.3,,20.8,,41.5,,2.764,83.1,,1.47,0.0,,2.73,0.0,,89.3,,93.1,,10.7,90.5,,21.6,93.0,,54,95.9,,85.4,,93.5,91.4,t25,81.6,79.5,u11,"1,951",
887,YEM,Yemen,LDC,38.6,,24.5,,"27,584,213",19.8,,4540.81,42.524,40.7,,1.58,4.5,,33.1,,0.45,41.5,,15.6,24.7,,52.7,,21.1,,0.052,30.9,,3.58,11.3,,30.32,84.4,,59.2,,67.0,,28.8,60.3,,55.3,72.5,,385,68.2,,51.4,,70.0,59.9,t6,48.6,42.9,,954,
894,ZMB,Zambia,LDC,40.5,,38.2,,"16,591,390",27.6,,7069.45,80.482,88.1,,0.00,0.0,,37.2,,0.66,66.1,,5.9,8.3,,42.7,,57.1,,2.385,81.1,,7.61,33.0,,13.49,28.3,,58.6,,60.4,,45.9,31.8,,63.4,67.6,,224,81.7,,56.8,,83.0,77.3,t24,42.7,36.3,u12,"1,561",
